nameWithOwner,createdAt,forkCount,isFork
JakeWharton/SMSMorse,2009-03-27T03:26:46Z,17,False
JakeWharton/mkvdts2ac3,2009-03-27T03:35:57Z,50,False
JakeWharton/SMSBarrage,2009-03-31T22:18:32Z,27,False
Knio/dominate,2009-05-14T05:42:39Z,36,False
Knio/scenerename,2009-05-20T05:45:47Z,0,False
JakeWharton/is_awesome,2009-07-12T02:27:19Z,0,False
JakeWharton/py-videodownloader,2010-02-23T04:34:27Z,26,False
JakeWharton/WakkaWallpaper,2010-07-07T23:41:20Z,8,False
JakeWharton/SnakeWallpaper,2010-08-24T15:08:32Z,10,False
JakeWharton/BreakoutWallpaper,2010-08-28T04:13:34Z,6,False
square/retrofit,2010-09-06T21:39:43Z,5120,False
JakeWharton/TronWallpaper,2010-09-07T04:13:49Z,18,False
JakeWharton/guiceymongo-generator-maven-plugin,2010-10-19T23:44:55Z,0,False
JakeWharton/ActionBarSherlock,2011-03-07T17:28:54Z,3977,False
JakeWharton/pingdom-java,2011-03-24T04:48:11Z,7,False
JakeWharton/apibuilder,2011-03-30T04:27:43Z,8,False
JakeWharton/trakt-java,2011-03-31T04:29:38Z,37,False
JakeWharton/github-deploy-maven-plugin,2011-04-16T01:03:02Z,2,False
JakeWharton/myp2p-boxee-app,2011-04-19T20:22:14Z,0,False
JakeWharton/domainr-java,2011-04-24T17:42:34Z,2,False
JakeWharton/uglify-js-middleware,2011-05-02T23:06:48Z,6,False
JakeWharton/Android-MapForgeFragment,2011-08-01T04:32:49Z,14,False
JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,4298,False
JakeWharton/Android-DirectionalViewPager,2011-08-24T20:44:21Z,443,False
Knio/dominate.js,2011-09-02T21:45:06Z,2,False
JakeWharton/DocBrown,2011-10-22T22:57:53Z,2,False
JakeWharton/untappd-java,2011-10-25T14:59:44Z,2,False
JakeWharton/NineOldAndroids,2011-12-08T19:46:37Z,1673,False
JakeWharton/heroku-java,2011-12-20T06:17:56Z,1,False
JakeWharton/HanselAndGretel,2011-12-24T07:45:02Z,60,False
JakeWharton/abs.io,2011-12-29T18:02:34Z,1,False
JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,965,False
JakeWharton/lessres,2012-01-11T15:18:17Z,0,False
JakeWharton/jakewharton.com,2012-01-12T04:55:38Z,12,False
JakeWharton/ActionBarSherlock-Plugin-Maps,2012-02-17T19:31:35Z,43,False
JakeWharton/AndroidDesignKeynoteTheme,2012-05-06T09:46:05Z,7,False
JakeWharton/WritingAgileAPKs,2012-05-07T06:48:28Z,4,False
JakeWharton/SwipeToDismissNOA,2012-06-24T08:59:44Z,133,False
square/otto,2012-06-27T19:06:49Z,901,False
JakeWharton/NotificationCompat2,2012-07-02T05:28:02Z,22,False
JakeWharton/ActivityCompat2,2012-07-06T20:00:58Z,10,False
square/pollexor,2012-07-17T18:06:03Z,74,False
square/okhttp,2012-07-23T13:42:55Z,5772,False
square/dagger,2012-08-02T23:25:32Z,2193,False
square/seismic,2012-09-06T03:24:10Z,141,False
square/tape,2012-09-10T06:18:49Z,260,False
JakeWharton/EffectiveOpenSource,2012-10-11T21:34:18Z,5,False
square/assertj-android,2013-01-17T18:51:30Z,169,False
JakeWharton/jquery-maven-artifact,2013-01-18T16:58:38Z,4,False
square/spoon,2013-01-23T00:29:36Z,443,False
square/android-times-square,2013-01-30T20:28:27Z,1169,False
square/protoparser,2013-02-01T16:24:32Z,29,False
square/javapoet,2013-02-01T16:56:30Z,587,False
JakeWharton/gms-mvn-install,2013-02-26T20:52:54Z,30,False
JakeWharton/butterknife,2013-03-05T08:18:59Z,3944,False
JakeWharton/snooker,2013-03-06T06:20:55Z,7,False
JakeWharton/salvage,2013-03-06T08:54:56Z,129,False
square/jirafy,2013-03-19T23:37:58Z,14,False
JakeWharton/adjacent-fragment-pager-sample,2013-04-03T16:02:16Z,34,False
square/java-code-styles,2013-04-11T21:44:31Z,599,False
square/mimecraft,2013-05-05T05:48:46Z,32,False
square/dagger-intellij-plugin,2013-05-10T16:02:30Z,41,False
square/otto-intellij-plugin,2013-05-10T16:04:51Z,46,False
square/picasso,2013-05-14T15:07:47Z,3744,False
JakeWharton/pidcat,2013-06-12T05:59:37Z,369,False
JakeWharton/timber,2013-07-18T06:23:33Z,529,False
JakeWharton/ActionBarSherlock-Gradle-Sample,2013-07-28T11:19:58Z,15,False
JakeWharton/gradle-android-test-plugin,2013-08-12T22:18:43Z,57,False
square/wire,2013-08-21T15:45:47Z,303,False
JakeWharton/rebaseandsqua.sh,2013-10-08T04:03:50Z,2,False
JakeWharton/u2020,2013-11-14T11:58:23Z,959,False
JakeWharton/hugo,2013-11-25T09:16:40Z,545,False
JakeWharton/madge,2013-12-05T22:50:07Z,12,False
JakeWharton/scalpel,2014-01-06T17:26:01Z,203,False
square/phrase,2014-01-22T00:51:50Z,118,False
JakeWharton/paraphrase,2014-01-27T08:41:27Z,13,False
JakeWharton/double-espresso,2014-02-01T09:36:38Z,41,False
square/jna-gmp,2014-02-09T05:08:58Z,14,False
JakeWharton/resourcefs,2014-02-13T07:29:50Z,2,False
JakeWharton/flip-tables,2014-02-25T08:34:27Z,41,False
square/okio,2014-03-17T00:02:59Z,736,False
JakeWharton/sdk-manager-plugin,2014-03-29T09:48:51Z,146,False
JakeWharton/jardiff,2014-07-07T23:00:14Z,13,False
JakeWharton/byteunits,2014-07-20T07:11:52Z,4,False
JakeWharton/twirl-maven-plugin,2014-07-25T05:49:13Z,5,False
square/moshi,2014-08-09T15:58:42Z,251,False
square/pagerduty-incidents,2014-08-13T07:57:20Z,22,False
square/burst,2014-09-09T00:05:42Z,20,False
JakeWharton/kotterknife,2014-10-20T06:05:55Z,168,False
JakeWharton/Telecine,2014-10-22T09:39:53Z,384,False
square/sqlbrite,2015-02-19T04:38:37Z,419,False
AlecStrong/pizzasort,2015-03-10T17:11:02Z,5,False
google/gson,2015-03-19T18:21:20Z,2435,False
JakeWharton/RxBinding,2015-03-24T04:17:24Z,725,False
square/haha,2015-04-22T14:29:19Z,96,False
square/leakcanary,2015-04-29T23:54:16Z,2954,False
square/wire-gradle-plugin,2015-05-07T04:36:09Z,21,False
rharter/auto-value-parcel,2015-05-13T14:58:57Z,55,False
JakeWharton/ThreeTenABP,2015-07-03T17:35:09Z,54,False
JakeWharton/ProcessPhoenix,2015-07-08T05:39:28Z,58,False
